StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Before Topic,QID31,QID35,QID36,QID38,Content,QID40,QID41,QID42,QID43,QID44,Topic After,Format,Format_1_TEXT,QID45,QID46,QID47,QID1215450896,QID1215450896_2_TEXT,Final Thoughts
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Before taking this course, I ranked my knowledge and understanding of the Illinois CCSO WrapStat system as follows:",Taking this course has improved my ability to manage WrapStat user access within my CCSO.,"This course has enabled me to better add, update, and archive all Care Coordinators within my CCSO.",Taking this course will help me better complete and manage the Youth Roster for my CCSO.,Taking this course has improved my ability to follow up with potential respondents who do not respond to or decline WrapStat access.,The content/course was engaging/held my attention.,The content/course was relevant to my job.,The content/course was easy to understand.,The content/course was appropriately interactive.,The content/course was supported by visuals.,The content/course was user-friendly.,"After taking this course, I now rank my knowledge and understanding of the Illinois CCSO WrapStat system as:",I would take another course in this format. - Selected Choice,I would take another course in this format. - No (Please Explain) - Text,The technology used in this course was easy to access.,The technology used in this course was easy to navigate.,"The technology used in this course, including the audio, was functioning properly.",I encountered technical difficulties during this course. - Selected Choice,I encountered technical difficulties during this course. - Yes (Please Explain) - Text,"Please provide comments below, including what you liked least or most about the course and suggestions for improvement:"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID1215450898""}","{""ImportId"":""QID31""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID1215450902""}","{""ImportId"":""QID1215450894""}","{""ImportId"":""QID1215450894_1_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID1215450896""}","{""ImportId"":""QID1215450896_2_TEXT""}","{""ImportId"":""QID1215450892_TEXT""}"
2024-11-08 16:37:20,2024-11-08 16:38:46,IP Address,45.19.225.249,100,86,True,2024-11-08 16:38:47,R_6PwuFEecQRNc7mh,,,,,38.5889,-89.9904,anonymous,EN,1,,0,0,,Somewhat bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,"Easy to follow along with the training guides provided. "
2024-11-11 12:30:59,2024-11-11 12:32:34,IP Address,45.19.225.249,100,94,True,2024-11-11 12:32:35,R_1OmAueQ0zjKnewh,,,,,38.5889,-89.9904,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither good nor bad,Yes,,Neither agree nor disagree,Somewhat agree,Strongly agree,No,,
2024-11-12 14:59:38,2024-11-12 15:00:08,IP Address,23.25.54.161,100,29,True,2024-11-12 15:00:09,R_1NEzUIir2BqY4Ad,,,,,41.689,-87.7803,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,No (Please Explain),Too long,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,,
2024-11-15 15:04:58,2024-11-15 15:05:49,IP Address,64.83.252.50,100,51,True,2024-11-15 15:05:49,R_5j7pmeceJLxYDW8,,,,,37.819,-88.4494,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat disagree,No,,
2024-11-18 12:25:38,2024-11-18 12:28:23,IP Address,172.58.167.254,100,164,True,2024-11-18 12:28:24,R_1QJMPFBIG1O4U3k,,,,,41.779,-87.7789,anonymous,EN,1,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,
2024-11-18 16:53:19,2024-11-18 16:54:22,IP Address,75.209.170.105,100,62,True,2024-11-18 16:54:23,R_7aIx5bYX1QuYVO0,,,,,41.9215,-87.6446,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,Yes,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,,
2024-11-19 12:12:25,2024-11-19 12:13:56,IP Address,216.86.155.61,100,91,True,2024-11-19 12:13:56,R_3aYtqLHTrZSYqcx,,,,,41.7697,-87.6985,anonymous,EN,1,,0,25,,Extremely bad,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2024-11-19 14:53:56,2024-11-19 14:54:51,IP Address,38.106.131.18,100,55,True,2024-11-19 14:54:52,R_71EKW8YTLXc9p0N,,,,,42.2578,-89.0261,anonymous,EN,1,,0,0,,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither good nor bad,Yes,,Somewhat agree,Strongly agree,Strongly agree,No,,
2024-11-19 16:51:23,2024-11-19 16:52:27,IP Address,173.15.116.153,100,63,True,2024-11-19 16:52:27,R_6e87ggpzNHsiGdP,,,,,41.6736,-88.0017,anonymous,EN,1,,0,0,,Extremely good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2024-11-19 17:06:33,2024-11-19 17:08:11,IP Address,38.106.131.18,100,98,True,2024-11-19 17:08:12,R_7lh3yicBbpY9rr3,,,,,42.2578,-89.0261,anonymous,EN,1,true,89,0,2024-11-19 20:54:52,Extremely bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither good nor bad,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2024-11-19 21:34:28,2024-11-19 21:34:59,IP Address,173.24.4.115,100,31,True,2024-11-19 21:34:59,R_78YU7f2q2V3wiKq,,,,,41.1964,-90.7374,anonymous,EN,1,,0,0,,Somewhat bad,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,
2024-11-19 21:54:24,2024-11-19 21:55:46,IP Address,172.58.167.246,100,81,True,2024-11-19 21:55:46,R_3F2JSvboXUdNrxw,,,,,41.923,-87.7531,anonymous,EN,1,,0,30,,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2024-11-19 21:56:38,2024-11-19 21:57:47,IP Address,98.97.11.218,100,68,True,2024-11-19 21:57:47,R_5Ow4GN1kiSM8ezu,,,,,41.8874,-87.6318,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2024-11-20 00:36:47,2024-11-20 00:37:56,IP Address,38.106.131.18,100,69,True,2024-11-20 00:37:57,R_70TpukYqwqPqUJE,,,,,42.2578,-89.0261,anonymous,EN,1,true,89,5,2024-11-19 23:08:12,Somewhat bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2024-11-20 15:38:44,2024-11-20 15:41:12,IP Address,45.19.225.249,100,147,True,2024-11-20 15:41:12,R_3eM4evpoeUwTJ46,,,,,38.5889,-89.9904,anonymous,EN,1,,0,0,,Extremely good,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,"It was good to review what I've been doing, and to see how a bulk upload works."
2024-11-21 11:20:47,2024-11-21 11:23:47,IP Address,104.179.113.88,100,180,True,2024-11-21 11:23:48,R_3YArovhNY6hH9LN,,,,,42.0354,-87.737,anonymous,EN,1,,0,0,,Somewhat good,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat good,No (Please Explain),,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,,
2024-11-29 10:29:48,2024-11-29 10:31:27,IP Address,173.15.116.153,100,99,True,2024-11-29 10:31:28,R_3N870bSV2ur8kO3,,,,,41.6736,-88.0017,anonymous,EN,0.6000000238418579,,0,0,,Extremely bad,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,Yes (Please Explain),a couple of the videos stopped and said it was disconnected so i had to re-login and watch the videos again,
2025-02-10 17:30:09,2025-02-10 17:32:49,IP Address,98.206.84.76,100,160,True,2025-02-10 17:32:49,R_5uHAtb0SlkDWYTC,,,,,41.921,-87.6454,anonymous,EN,1,,0,0,,Somewhat good,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-12 13:45:40,2025-02-12 13:46:47,IP Address,108.59.186.66,100,67,True,2025-02-12 13:46:48,R_2mFufK6mTSxQWbg,,,,,39.2798,-89.8818,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither good nor bad,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-12 16:20:33,2025-02-12 16:21:29,IP Address,50.171.89.234,100,56,True,2025-02-12 16:21:30,R_1KT2efIcUGw6eWC,,,,,41.964,-87.8175,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,Yes,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,"done "
2025-02-13 17:10:09,2025-02-13 17:13:10,IP Address,98.223.89.123,100,181,True,2025-02-13 17:13:11,R_1dMY5EknlmFsM0x,,,,,40.5093,-88.9844,anonymous,EN,0.6000000238418579,,0,0,,Somewhat bad,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2025-02-14 16:16:42,2025-02-14 16:18:18,IP Address,137.83.229.64,100,95,True,2025-02-14 16:18:18,R_3FlXaRpa6ZbTvxM,,,,,41.8733,-88.1163,anonymous,EN,1,,0,25,,Somewhat bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither good nor bad,No (Please Explain),Not interactive and screen setup difficult to navigate,Somewhat agree,Somewhat disagree,Strongly agree,No,,
2025-02-17 11:54:13,2025-02-17 11:55:59,IP Address,50.244.23.233,100,105,True,2025-02-17 11:56:00,R_1zNN2oBnnntPNOa,,,,,41.8486,-87.6288,anonymous,EN,1,,0,0,,Extremely bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-17 18:11:32,2025-02-17 18:15:31,IP Address,98.212.75.236,100,238,True,2025-02-17 18:15:31,R_1s0jg2XNpjCwZtP,,,,,41.7493,-87.8362,anonymous,EN,1,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-18 16:07:35,2025-02-18 16:08:58,IP Address,69.69.20.36,100,82,True,2025-02-18 16:08:59,R_5hmgslmtvZoowHU,,,,,28.3036,-81.5911,anonymous,EN,1,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-19 10:02:51,2025-02-19 10:03:20,IP Address,165.85.157.229,100,29,True,2025-02-19 10:03:20,R_1qej7ssBewgIfoE,,,,,41.9228,-88.0756,anonymous,EN,1,,0,25,,Somewhat good,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2025-02-20 10:14:15,2025-02-20 10:16:35,IP Address,108.59.186.66,100,139,True,2025-02-20 10:16:35,R_3MwRhYlfUZpmnmx,,,,,39.2798,-89.8818,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2025-02-21 11:48:08,2025-02-21 11:49:11,IP Address,107.167.208.46,100,62,True,2025-02-21 11:49:11,R_7JKrPyxUd1GpqUe,,,,,39.7343,-90.2291,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-02-21 18:40:03,2025-02-21 18:41:30,IP Address,149.75.44.55,100,87,True,2025-02-21 18:41:31,R_6eyHfukLaXjD24Y,,,,,41.5092,-87.5938,anonymous,EN,1,,0,0,,Extremely good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither good nor bad,Yes,,Strongly disagree,Strongly disagree,Strongly disagree,No,,
2025-02-24 23:08:44,2025-02-24 23:10:09,IP Address,140.141.173.111,100,85,True,2025-02-24 23:10:10,R_3qjpVNwpHWy2QvL,,,,,40.7687,-89.6024,anonymous,EN,0.8999999761581421,,0,0,,Somewhat bad,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Somewhat agree,No,,
2025-02-25 16:23:56,2025-02-25 16:25:28,IP Address,162.211.34.219,100,92,True,2025-02-25 16:25:29,R_7z7BcbNRqpko30B,,,,,40.4798,-88.9922,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2025-02-27 09:46:48,2025-02-27 09:51:12,IP Address,137.83.229.64,100,263,True,2025-02-27 09:51:13,R_5nKFgWOUYEhL1VD,,,,,41.874,-88.0038,anonymous,EN,0.8999999761581421,,0,25,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat good,Yes,,Somewhat agree,Neither agree nor disagree,Strongly agree,No,,
2025-04-14 17:05:15,2025-04-14 17:06:29,IP Address,75.150.227.189,100,73,True,2025-04-14 17:06:29,R_5X24R2QJkjhKp5T,,,,,42.0305,-88.3781,anonymous,EN,1,,0,5,,Extremely bad,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,
2025-05-16 12:24:33,2025-05-16 12:25:21,IP Address,69.174.130.61,100,47,True,2025-05-16 12:25:22,R_63kHyYznNFA6d6t,,,,,41.6423,-88.4429,anonymous,EN,0.8999999761581421,,0,0,,Neither good nor bad,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Somewhat agree,Strongly agree,Strongly agree,No,,
2025-05-20 17:34:39,2025-05-20 17:38:02,IP Address,50.83.20.204,100,202,True,2025-05-20 17:38:02,R_71u0hyKDWkWK6sE,,,,,41.4943,-90.5001,anonymous,EN,1,,0,0,,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat good,No (Please Explain),"too many navigation buttons, could flow smoother with less clicking to navigate",Neither agree nor disagree,Neither agree nor disagree,,Yes (Please Explain),"email not matching mtac to adobe, links",informative
2025-05-22 15:15:52,2025-05-22 15:20:04,IP Address,69.174.130.61,100,252,True,2025-05-22 15:20:04,R_5YQc4aFf41P2KOp,,,,,41.6423,-88.4429,anonymous,EN,1,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat good,No (Please Explain),"It was difficult to navigate, too many and very unnecessary arrows going in every which direction.  ",Somewhat disagree,Strongly agree,Strongly agree,No,,The navigation from module to module needs to be more user friendly.  It took a couple of tries to figure out where to go.  Good navigation is a time saver; this was not like that at all.
2025-05-22 17:19:57,2025-05-22 17:21:17,IP Address,205.167.2.17,100,80,True,2025-05-22 17:21:18,R_6qTV76Bh7rukgG2,,,,,41.6244,-93.6694,anonymous,EN,0.8999999761581421,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
2025-06-03 10:43:13,2025-06-03 10:44:36,IP Address,166.199.99.66,100,82,True,2025-06-03 10:44:36,R_6JEqiOQUzFbqO5J,,,,,39.1029,-94.5713,anonymous,EN,0.8999999761581421,,0,0,,Extremely bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,
